Datum,Beginn,Ende,Pause_Min,Krank,Urlaub,Wochenende,Ist_Stunden,Soll_Stunden,Ueberstunden
2026-06-17,08:15,16:00,45,False,False,False,7.25,8.0,-0.75
2026-06-16,08:30,16:45,15,False,False,False,8.0,8.0,0.0
2026-06-15,08:30,16:15,45,False,False,False,7.0,8.0,-1.0
2026-06-14,10:00,13:00,0,False,False,True,4.5,0.0,4.5
2026-06-12,Frei,Frei,0,True,False,False,0.0,0.0,0.0
2026-06-11,Frei,Frei,0,True,False,False,0.0,0.0,0.0
2026-06-10,07:45,16:15,45,False,False,False,8.0,8.0,0.0
2026-06-09,07:30,16:30,30,False,False,False,8.5,8.0,0.5
2026-06-08,07:30,17:30,30,False,False,False,9.5,8.0,1.5
2026-06-05,08:00,16:00,0,False,False,False,8.0,8.0,0.0
2026-06-03,09:00,16:15,30,False,False,False,6.75,8.0,-1.25
2026-06-02,08:00,15:45,30,False,False,False,7.25,8.0,-0.75
2026-06-01,08:00,15:30,60,False,False,False,6.5,8.0,-1.5
2026-05-29,07:30,17:15,0,False,False,False,9.75,8.0,1.75
2026-05-28,08:00,18:00,0,False,False,False,10.0,8.0,2.0
2026-05-27,08:00,16:00,0,False,False,False,8.0,8.0,0.0
2026-05-26,07:25,15:10,30,False,False,False,7.25,8.0,-0.75
2026-05-22,07:00,15:15,0,False,False,False,8.25,8.0,0.25
2026-05-21,07:40,18:45,30,False,False,False,10.58,8.0,2.58
2026-05-20,07:30,18:30,30,False,False,False,10.5,8.0,2.5
2026-05-19,07:30,15:00,30,False,False,False,7.0,8.0,-1.0
2026-05-18,07:45,15:30,30,False,False,False,7.25,8.0,-0.75
2026-05-15,Frei,Frei,0,False,True,False,0.0,8.0,-8.0
2026-05-13,07:45,18:00,0,False,False,False,10.25,8.0,2.25
2026-05-12,08:00,16:30,0,False,False,False,8.5,8.0,0.5
2026-05-11,09:30,17:30,0,False,False,False,8.0,8.0,0.0
2026-05-07,07:45,16:30,30,False,False,False,8.25,8.0,0.25
2026-05-06,08:00,16:00,60,False,False,False,7.0,8.0,-1.0
2026-05-05,11:30,23:00,0,False,False,False,11.5,8.0,3.5
2026-05-04,08:30,18:00,0,False,False,False,9.5,8.0,1.5
2026-04-30,07:30,17:30,90,False,False,False,8.5,8.0,0.5
2026-04-29,07:45,19:45,0,False,False,False,12.0,8.0,4.0
2026-04-28,07:30,16:00,30,False,False,False,8.0,8.0,0.0
2026-04-27,07:30,16:00,30,False,False,False,8.0,8.0,0.0
2026-04-24,07:30,15:30,30,False,False,False,7.5,8.0,-0.5
2026-04-23,08:00,16:00,30,False,False,False,7.5,8.0,-0.5
2026-04-22,07:30,16:00,30,False,False,False,8.0,8.0,0.0
2026-04-21,08:00,16:30,30,False,False,False,8.0,8.0,0.0
2026-04-20,07:30,16:30,30,False,False,False,7.5,8.0,-0.5
2026-04-17,08:00,15:30,90,False,False,False,6.0,8.0,-2.0
2026-04-16,07:45,17:45,120,False,False,False,8.5,8.0,0.5
2026-04-15,07:45,15:00,45,False,False,False,7.0,8.0,-1.0
2026-04-14,07:45,15:45,30,False,False,False,7.5,8.0,-0.5
2026-04-09,07:00,17:30,105,False,False,False,9.75,8.0,1.75
2026-04-08,08:00,15:55,25,False,False,False,7.5,8.0,-0.5
2026-04-07,08:45,17:55,25,False,False,False,8.75,8.0,0.75
2026-04-06,08:00,17:50,60,False,False,False,8.83,8.0,0.83
2026-03-27,07:15,13:35,20,False,False,False,6.0,8.0,-2.0
2026-03-26,07:00,14:45,15,False,False,False,7.5,8.0,-0.5
2026-03-25,07:05,14:50,15,False,False,False,7.5,8.0,-0.5
2026-03-24,07:00,15:20,20,False,False,False,8.0,8.0,0.0
2026-03-23,07:00,16:50,30,False,False,False,9.33,8.0,1.33
2026-03-20,08:00,19:00,30,False,False,False,10.5,8.0,2.5
2026-03-19,07:15,16:15,15,False,False,False,8.75,8.0,0.75
2026-03-18,07:40,15:20,5,False,False,False,7.66,8.0,-0.34
2026-03-17,07:40,16:15,30,False,False,False,8.08,8.0,0.08
2026-03-16,07:30,16:15,30,False,False,False,8.25,8.0,0.25
2026-03-13,07:45,16:15,30,False,False,False,8.0,8.0,0.0
2026-03-12,07:45,16:15,30,False,False,False,8.0,8.0,0.0
2026-03-11,07:45,16:20,20,False,False,False,8.25,8.0,0.25
2026-03-10,07:45,16:15,20,False,False,False,8.16,8.0,0.16
2026-03-09,07:45,16:15,30,False,False,False,8.0,8.0,0.0
2026-03-06,07:45,16:00,30,False,False,False,7.75,8.0,-0.25
2026-03-05,07:45,16:15,30,False,False,False,8.0,8.0,0.0
2026-03-04,08:00,16:15,30,False,False,False,7.75,8.0,-0.25
2026-03-03,07:45,16:15,30,False,False,False,8.0,8.0,0.0
2026-03-02,08:00,17:15,30,False,False,False,8.75,8.0,0.75
